model,fraction,n_train,training_time_seconds,training_time_minutes
BiLSTM,0.1,3811,13.816365718841553,0.23027276198069255
BiLSTM,0.25,9529,19.608993768692017,0.3268165628115336
BiLSTM,0.5,19058,31.88218402862549,0.5313697338104248
BiLSTM,0.75,28586,50.579723834991455,0.8429953972498576
BiLSTM,1.0,38115,68.21880626678467,1.1369801044464112
DistilBERT,0.1,3811,280.91673731803894,4.681945621967316
DistilBERT,0.25,9529,505.0285041332245,8.417141735553741
DistilBERT,0.5,19058,881.4248378276825,14.690413963794708
DistilBERT,0.75,28586,1258.1316421031952,20.96886070171992
DistilBERT,1.0,38115,1642.2676575183868,27.371127625306446
TF-IDF + Logistic Regression,0.1,3811,5.563783645629883,0.09272972742716472
TF-IDF + Logistic Regression,0.25,9529,13.758091449737549,0.2293015241622925
TF-IDF + Logistic Regression,0.5,19058,19.388038158416748,0.3231339693069458
TF-IDF + Logistic Regression,0.75,28586,27.743653059005737,0.46239421765009564
TF-IDF + Logistic Regression,1.0,38115,35.70178699493408,0.5950297832489013
