model,fraction,n_train,val_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,training_time_seconds,n_features,vocab_size
BiLSTM,0.1,3811,0.48760996018603747,0.5888834476003918,0.4848534823930276,0.5509841357000698,0.49309070097036883,0.5858455658116176,13.816365718841553,,10788.0
BiLSTM,0.25,9529,0.5588479347616231,0.628305582761998,0.5262958019808168,0.6008079037551879,0.5500286999992394,0.636192086493924,19.608993768692017,,18689.0
BiLSTM,0.5,19058,0.6109677946254957,0.6799706170421156,0.6044447638434957,0.6555424213409405,0.6152981943373641,0.6813789740229761,31.88218402862549,,28025.0
BiLSTM,0.75,28586,0.6383990708140395,0.7018854064642507,0.6309736066908205,0.6785954009157565,0.6388063640189687,0.7083671183890246,50.579723834991455,,35022.0
BiLSTM,1.0,38115,0.6626708225639393,0.7163320274240941,0.6508535978085921,0.6913655772717221,0.6546374586373793,0.7214463689114521,68.21880626678467,,41560.0
DistilBERT,0.1,3811,0.6598343279586703,0.7136385896180215,0.6496646059595093,0.70212496364482,0.6628502244619949,0.7184107689570896,280.91673731803894,,
DistilBERT,0.25,9529,0.7212881646407371,0.7591821743388835,0.7010880081283559,0.7394529927661241,0.7112268453452516,0.7621863892111812,505.0285041332245,,
DistilBERT,0.5,19058,0.7407043051580484,0.7786483839373164,0.7187645794172817,0.7508462499087135,0.7290224435487762,0.7805948767255037,881.4248378276825,,
DistilBERT,0.75,28586,0.7497277326913223,0.785871694417238,0.7355830456952976,0.7658882092628234,0.7468218012064474,0.7875894166965365,1258.1316421031952,,
DistilBERT,1.0,38115,0.7603701161389061,0.7928501469147894,0.7408440217322485,0.7725312031288646,0.7527747949408956,0.7947570067119286,1642.2676575183868,,
TF-IDF + Logistic Regression,0.1,3811,0.6352232502392007,0.7050685602350637,0.6509310844996186,0.6309138932616438,0.6257282183365874,0.7025899205081103,5.563783645629883,42899.0,
TF-IDF + Logistic Regression,0.25,9529,0.6558824882456793,0.7263712047012733,0.6635281496648825,0.6792676112946544,0.6586736191900795,0.7259173499425747,13.758091449737549,92222.0,
TF-IDF + Logistic Regression,0.5,19058,0.679898778066943,0.7378795298726738,0.671508582798866,0.7093933110942191,0.6816974833625467,0.7387291314004819,19.388038158416748,100000.0,
TF-IDF + Logistic Regression,0.75,28586,0.7006436176356999,0.7473065621939275,0.6759958762813849,0.7256743524998517,0.692140499082063,0.7488245413395648,27.743653059005737,100000.0,
TF-IDF + Logistic Regression,1.0,38115,0.7073246306129736,0.7512242899118511,0.6832143421478317,0.7387111384154761,0.7021978381580938,0.7524029620199556,35.70178699493408,100000.0,
