model,label,precision,recall,f1,support
TF-IDF + Logistic Regression,Anxiety,0.8059701492537313,0.7860262008733624,0.7958732498157701,687
TF-IDF + Logistic Regression,Depression,0.7847295864262991,0.6231578947368421,0.694672612062896,2375
TF-IDF + Logistic Regression,Happy,0.7684210526315789,0.7156862745098039,0.7411167512690355,102
TF-IDF + Logistic Regression,Mentalhealth,0.5850144092219021,0.6952054794520548,0.6353677621283255,292
TF-IDF + Logistic Regression,Normal,0.8829872204472844,0.9193347193347193,0.900794459156651,2405
TF-IDF + Logistic Regression,Sad,0.4648648648648649,0.6991869918699187,0.5584415584415584,246
TF-IDF + Logistic Regression,Stress,0.4972067039106145,0.7784256559766763,0.6068181818181818,343
TF-IDF + Logistic Regression,Suicidal,0.6765207504263786,0.6926658905704307,0.6844981305723324,1718
BiLSTM,Anxiety,0.7653061224489796,0.7641921397379913,0.764748725418791,687
BiLSTM,Depression,0.7223282442748091,0.6374736842105263,0.6772534108700514,2375
BiLSTM,Happy,0.6224489795918368,0.5980392156862745,0.61,102
BiLSTM,Mentalhealth,0.528023598820059,0.613013698630137,0.5673534072900158,292
BiLSTM,Normal,0.9194456474664356,0.8827442827442827,0.9007212558336869,2405
BiLSTM,Sad,0.41329479768786126,0.5813008130081301,0.4831081081081081,246
BiLSTM,Stress,0.41527001862197394,0.6501457725947521,0.5068181818181818,343
BiLSTM,Suicidal,0.6232214001138304,0.6373690337601863,0.6302158273381295,1718
DistilBERT,Anxiety,0.8748137108792846,0.8544395924308588,0.8645066273932254,687
DistilBERT,Depression,0.8031942297784647,0.6564210526315789,0.7224281742354032,2375
DistilBERT,Happy,0.8620689655172413,0.7352941176470589,0.7936507936507936,102
DistilBERT,Mentalhealth,0.6079545454545454,0.7328767123287672,0.6645962732919255,292
DistilBERT,Normal,0.9627249357326478,0.9343035343035343,0.948301329394387,2405
DistilBERT,Sad,0.5032467532467533,0.6300813008130082,0.5595667870036101,246
DistilBERT,Stress,0.5991649269311065,0.8367346938775511,0.6982968369829684,343
DistilBERT,Suicidal,0.658817635270541,0.7654249126891735,0.708131394722671,1718
