length_bin,n_examples,errors,error_rate,macro_f1,model
≤32,3175,495,0.15590551181102363,0.6343333586365665,TF-IDF + Logistic Regression
33–64,1175,373,0.3174468085106383,0.7054751426934597,TF-IDF + Logistic Regression
65–128,1662,577,0.3471720818291215,0.6323213226481195,TF-IDF + Logistic Regression
>128,2156,587,0.2722634508348794,0.5907564569034582,TF-IDF + Logistic Regression
≤32,3175,537,0.16913385826771654,0.5803709728155926,BiLSTM
33–64,1175,414,0.3523404255319149,0.6273100110576524,BiLSTM
65–128,1662,624,0.37545126353790614,0.5901591583003714,BiLSTM
>128,2156,730,0.3385899814471243,0.5126669396432092,BiLSTM
≤32,3175,353,0.11118110236220473,0.7126571232034715,DistilBERT
33–64,1175,302,0.2570212765957447,0.7595658721285681,DistilBERT
65–128,1662,462,0.2779783393501805,0.7120952304917643,DistilBERT
>128,2156,612,0.28385899814471244,0.6001169818019876,DistilBERT
