,precision,recall,f1-score,support
Anxiety,0.8059701492537313,0.7860262008733624,0.7958732498157701,687.0
Depression,0.7847295864262991,0.6231578947368421,0.694672612062896,2375.0
Happy,0.7684210526315789,0.7156862745098039,0.7411167512690355,102.0
Mentalhealth,0.5850144092219021,0.6952054794520548,0.6353677621283255,292.0
Normal,0.8829872204472844,0.9193347193347193,0.900794459156651,2405.0
Sad,0.4648648648648649,0.6991869918699187,0.5584415584415584,246.0
Stress,0.4972067039106145,0.7784256559766763,0.6068181818181818,343.0
Suicidal,0.6765207504263786,0.6926658905704307,0.6844981305723324,1718.0
accuracy,0.7512242899118511,0.7512242899118511,0.7512242899118511,0.7512242899118511
macro avg,0.6832143421478317,0.7387111384154761,0.7021978381580938,8168.0
weighted avg,0.7636365065826793,0.7512242899118511,0.7524029620199556,8168.0
